"","Var1","Var2","Var3","Freq"
"1","Adelie","female","2007",22
"2","Chinstrap","female","2007",13
"3","Gentoo","female","2007",16
"4","Adelie","male","2007",22
"5","Chinstrap","male","2007",13
"6","Gentoo","male","2007",17
"7","Adelie","female","2008",25
"8","Chinstrap","female","2008",9
"9","Gentoo","female","2008",22
"10","Adelie","male","2008",25
"11","Chinstrap","male","2008",9
"12","Gentoo","male","2008",23
"13","Adelie","female","2009",26
"14","Chinstrap","female","2009",12
"15","Gentoo","female","2009",20
"16","Adelie","male","2009",26
"17","Chinstrap","male","2009",12
"18","Gentoo","male","2009",21
